date,wind_speed,temperature,precipitation,runoff,snowmelt,sam,oni,iod,wind_std,runoff_std,whdi_1,whdi_3,whdi_6
1986-09-01,2.940417091298273,7.819844778219148,37.84954814346722,16.810598730474346,20.46307377765014,2.72,0.71,-0.142,-0.7520372426289536,-0.23076966176709773,-0.6399944629380198,-0.08896228859692555,0.8973776375360198
1986-10-01,2.356951428840952,12.088895013184228,43.87175050097111,28.35882977102712,23.764732079607203,-0.38,0.94,-0.048,-1.4693759217415503,0.6882119514253788,-0.5086865114732277,-0.5629583054541302,0.4782053410740433
1986-11-01,5.765193255027988,13.847747764744028,44.59118927498325,17.701106927438612,13.291207699259,0.5,1.14,-0.244,1.2770548459661377,-0.4285577642937855,0.5525331900502631,-0.28811829500560093,0.24162736008942437
1986-12-01,4.334954488603274,17.87365462272341,24.180377892201083,10.772642272453956,2.6957490492187293,1.31,1.22,-0.274,-0.27661071165966244,-0.03975018985844259,-0.20601119544035718,-0.08041618067121716,-0.11369906558625661
1987-01-01,4.730941985058867,19.936015587347008,21.78161169634561,4.893779899026007,0.0091415547736898,-2.51,1.23,-0.081,0.46621478645793335,-0.43415237838716403,0.0208787336983162,0.17303096657560252,-0.25293165538363566
1987-02-01,3.048251195990007,19.41556736801317,41.84288339340008,3.1544897725725303,0.083271601504266,-2.49,1.19,0.041,-0.479330090600751,-0.4615905404281652,-0.6127185220505796,-0.3846523877403777,-0.43149077175174544
1987-03-01,2.667205348431068,15.663773323153292,62.42263461668547,6.51037367767913,0.0179534865175745,-1.11,1.06,-0.137,-0.8850370473042614,1.415468235090058,0.3454117198750835,-0.12074427426901253,-0.13376304588162197
1987-04-01,4.585310802783832,12.136159507664644,28.82662139588789,5.3131052447281695,1.2648494993912809,-0.17,0.95,-0.157,0.6860019300802193,-0.37715683110844483,0.20111697665468142,-0.03448319705788934,0.08069489239892672
1987-05-01,3.483233077806784,6.106535333450785,37.968105403578576,9.08630941655629,10.259745220584923,-0.34,0.97,0.165,-0.5682153224118568,-0.5538821955684488,-0.7306991792301208,-0.0909481204362608,-0.3070171615056928
1987-06-01,5.986444126702201,6.398425277255286,39.82403416254375,20.20855810097177,14.02718043958468,0.18,1.22,0.109,1.4397860006374212,0.29216824593770413,1.1278320521681955,0.2835141445550175,0.0959863143239636
1987-07-01,3.5283584179147898,4.887073135631594,94.381530686699,24.76495008459366,30.275689067391568,-0.26,1.51,0.207,-0.5831056253239115,1.3470240801850593,0.4974563966334163,0.42534063580456705,0.2399780877275989
1987-08-01,2.527816574436629,4.369946531794184,62.80010005966826,16.30854287554542,25.88686582551549,1.79,1.7,0.297,-1.8766927467930703,-0.04737414574907762,-1.2529339710998921,0.17540180503867212,0.046545274906975735
1987-09-01,3.207884806579122,7.020834496226319,34.89188489378504,14.801537712519435,15.854106521963423,-0.72,1.65,0.393,-0.48117229404373324,-0.670030698824547,-0.7496523863007736,-0.72315239440868,-0.28431417341005794
1987-10-01,3.386470858808287,11.613650237108388,38.43242959998275,23.292540869474944,16.944707748245875,0.78,1.48,0.255,-0.6087623846892666,-0.2290811188437857,-0.5455956817878242,-1.222351645334021,-0.5099237398548904
1987-11-01,3.473802807572479,15.88085003926165,32.70702140825735,11.899750888881709,2.9742593250255456,1.77,1.25,-0.051,-1.038503905048905,-1.291890426578545,-1.5175305159462895,-1.348986163127879,-0.7476546457591873
1987-12-01,4.3993981266507465,16.86007195529253,23.75815960911099,6.433986647747199,1.7391495053503134,0.3,1.11,0.152,-0.2188574163863322,-0.9768492279044318,-0.7786327387621922,-1.362856007730643,-1.3236683105352482
1988-01-01,4.917546281886866,17.842270228700013,18.582953746470608,4.574059970702503,0.5983080364791048,0.13,0.81,0.353,0.6741837949877503,-0.6220135225917088,0.03397278276545338,-1.085477582098377,-1.463703886465004
1988-02-01,2.1655124910433834,19.77242063954031,16.409454368035693,2.237882184390072,3.209520107137884e-05,0.12,0.54,-0.154,-1.3558884157294324,-1.146428274834905,-1.6294847129331997,-1.139058273254666,-1.577473820118852
1988-03-01,3.6892263459438577,15.536817201701728,45.7379549128957,4.212379631815829,0.2783643075593038,-2.01,0.14,-0.313,0.25049123916845434,-0.023258501688091543,0.14797178686391932,-0.6955902099948569,-1.3062682924658346
1988-04-01,3.8727045893265912,10.445949283316814,31.639751456635636,4.239342847528072,2.913469459636908,2.11,-0.31,-0.128,-0.05798592653634752,-0.6614960983206265,-0.46851981811713056,-0.9360805317588371,-1.2829808177062978
1988-05-01,3.4796725940137345,6.188312492851022,19.797189865324963,6.094065962837345,2.035627636914666,-2.03,-0.88,-0.513,-0.5717670603126378,-0.9447408327695586,-0.987535445908196,-0.628846981430265,-1.1228496660279585
1988-06-01,5.39154391179051,4.761898302272529,67.1997940080579,13.69369104126071,18.64411261975248,-3.06,-1.3,-0.272,0.8616251754698854,-0.7225558647763453,0.09056060596477677,-0.6563236713218861,-0.8602341452604286
1988-07-01,3.626165618379681,2.483862442069793,20.75718895503282,9.273941229019323,5.537041914952984,0.64,-1.3,-0.15,-0.48994513604947865,-1.230940948114513,-1.1206245705903395,-0.9684175836912495,-1.2090807937855494
1988-08-01,3.4810244774969035,4.606582432078774,58.60826327286994,12.720321424746846,15.872598430316687,-2.0,-1.11,-0.289,-0.7468439448448445,-0.6042942610952317,-0.8798482861666931,-0.9168790741677338,-0.9825878485784783
1988-09-01,2.961565181517881,7.89868992740501,49.64967196047107,12.179179105986565,19.52331520355952,-2.7,-1.19,-0.394,-0.730620540564576,-1.2433831011396905,-1.2854523048823763,-1.575431632155244,-1.4156783877759727
