lead,target,fold,feature_group,model,rmse,mae,r2,best_params
1,whdi_3,6,local_only,elasticnet,0.5582860391922918,0.42810567165591074,0.7880805455858775,"{'alpha': 0.01, 'l1_ratio': 0.5}"
1,whdi_3,6,local_only,random_forest,0.6365450506434107,0.48439671406491924,0.7245038189248142,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,6,local_only,xgboost,0.6608005399687934,0.4832706579791204,0.7031082907443369,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,6,local_only,lstm,0.863950746770546,0.7097684993502568,0.4925009187519285,"{'hidden_size': 32, 'dropout': 0.2, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,6,combined,climatology,1.2476533600970459,0.966749736103888,-0.058388647178520436,
1,whdi_3,6,combined,persistence,0.5719117025070501,0.4561579767290022,0.7776099983518162,
1,whdi_3,6,combined,elasticnet,0.5490138395231247,0.43298205805870194,0.7950613475722058,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,6,combined,random_forest,0.6238661078025634,0.4588886133819605,0.7353693904487069,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,6,combined,xgboost,0.6607893436543035,0.4777779334787686,0.7031183514648849,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0.1, 'subsample': 0.7}"
1,whdi_3,6,combined,lstm,1.1189630002132565,0.8961871164135817,0.14868802139206938,"{'hidden_size': 32, 'dropout': 0.2, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,7,climate_only,climatology,0.9923441231933584,0.8131795547101845,-1.5347220779095774,
1,whdi_3,7,climate_only,persistence,0.4284454932670939,0.3496506346722295,0.5275053435481527,
1,whdi_3,7,climate_only,elasticnet,0.8390300734594509,0.6640974565935397,-0.8120108700391302,"{'alpha': 0.1, 'l1_ratio': 0.9}"
1,whdi_3,7,climate_only,random_forest,1.0053241435067488,0.8273252234169793,-1.6014648877696436,"{'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 300}"
