lead,target,fold,feature_group,model,rmse,skill_vs_clim,skill_vs_persist
1,whdi_6,4,climate_only,xgboost,1.1669483849402824,-0.45493790910496545,-3.5222307184270027
1,whdi_6,4,climate_only,lstm,1.208071318753855,-0.559287913802897,-3.846570880134167
1,whdi_6,5,climate_only,elasticnet,0.6576027128573465,-0.11090488178942293,-0.42342327278981506
1,whdi_6,5,climate_only,random_forest,0.5945424615019771,0.09193813665990758,-0.1635167066051133
1,whdi_6,5,climate_only,xgboost,0.5969844956045127,0.0844632385069436,-0.1730944338858902
1,whdi_6,5,climate_only,lstm,0.7897173406913612,-0.6021125842372121,-1.0528169201663093
1,whdi_6,6,climate_only,elasticnet,1.4068844643948786,0.03371392589658584,-4.904301016599507
1,whdi_6,6,climate_only,random_forest,1.422598700645554,0.01200745375655854,-5.036934145605396
1,whdi_6,6,climate_only,xgboost,1.3514056562471082,0.10842000084530024,-4.447824238048058
1,whdi_6,6,climate_only,lstm,1.1676890066896262,0.3343541391557059,-3.067298120305524
1,whdi_6,7,climate_only,elasticnet,0.7826222578277804,0.42096533315788376,-3.6046568001345687
1,whdi_6,7,climate_only,random_forest,0.9865826530237654,0.07983200092575293,-6.317451055756488
