climate_mode,target,lag_months,correlation,p_raw,p_adjusted,n_effective,significant_raw,significant_adj
oni,runoff_std,10,-0.14037043499735471,0.0009234006526361177,0.041651815025542736,211,True,True
oni,runoff_std,11,-0.14300404895300273,0.0007445764915798011,0.036575352723606354,214,True,True
oni,runoff_std,12,-0.14350468404467767,0.0007209876546768239,0.03635786574908944,213,True,True
iod,whdi_1,0,0.04123494044806658,0.3317822927939837,0.44058108225991094,352,False,False
iod,whdi_1,1,0.0010473597846179083,0.9803414704561135,0.9843558317621369,353,False,False
iod,whdi_1,2,-0.016029941954764263,0.7060591377757376,0.7640807997899408,353,False,False
iod,whdi_1,3,-0.03170493166282638,0.45560920581239867,0.5515697302230944,355,False,False
iod,whdi_1,4,-0.07446603774085955,0.0793674720663859,0.16209609376453893,354,False,False
iod,whdi_1,5,-0.10629522736238779,0.012146058072160574,0.0456598174429623,354,True,True
iod,whdi_1,6,-0.1505761022927906,0.0003668150681245846,0.004521862357934816,354,True,True
iod,whdi_1,7,-0.15587334225229735,0.00022448001158242343,0.0032783168879277416,354,True,True
iod,whdi_1,8,-0.12367913689015485,0.003489435368786995,0.01940620275921232,357,True,True
iod,whdi_1,9,-0.1406397607294806,0.0008927551936115576,0.0077855751341803945,357,True,True
iod,whdi_1,10,-0.16104550437981455,0.00014073329107360048,0.0023049863939546534,356,True,True
iod,whdi_1,11,-0.16413612124539437,0.00010557412447587002,0.0018891884325222992,356,True,True
iod,whdi_1,12,-0.1572484957204629,0.00020789139994717296,0.0029293696754179323,356,True,True
iod,whdi_3,0,0.07083392104334875,0.09580120963937655,0.4559453270261231,113,False,False
iod,whdi_3,1,0.048547530699047665,0.2535376871768683,0.6096097380151461,113,False,False
iod,whdi_3,2,0.012555908937062975,0.7676812217912982,0.8945190577942566,114,False,False
iod,whdi_3,3,-0.022333430402869434,0.5992391932736484,0.8135434300740655,114,False,False
iod,whdi_3,4,-0.058470061017216135,0.16858059826193994,0.5347949615996264,115,False,False
iod,whdi_3,5,-0.1017345452639116,0.016408718381775496,0.2793089496220753,115,True,False
iod,whdi_3,6,-0.15864975112075175,0.00017244209687863836,0.09180673126859462,114,True,False
iod,whdi_3,7,-0.19774023432607193,2.619187840913394e-06,0.034954009041793625,114,True,True
iod,whdi_3,8,-0.20615203144295122,9.447396919607288e-07,0.027768755842997983,114,True,True
iod,whdi_3,9,-0.20105286163345704,1.8001832213018293e-06,0.031197080944729557,115,True,True
iod,whdi_3,10,-0.20420239137321292,1.255582299675235e-06,0.029311276148357757,114,True,True
iod,whdi_3,11,-0.22379692474256616,1.0462988145889987e-07,0.016683617386717923,114,True,True
iod,whdi_3,12,-0.23271628946767312,3.178292567958959e-08,0.012714909972829319,114,True,True
iod,whdi_6,0,0.057540038684117896,0.17743013092552049,0.6191429221266611,77,False,False
iod,whdi_6,1,0.057599623575495036,0.1765868216915219,0.6164350374202738,78,False,False
iod,whdi_6,2,0.052133223547762654,0.22094437948143755,0.6503305928751308,78,False,False
