season,climate_mode,target,lag_months,correlation,p_adjusted,n_effective,significant
JJA,sam,wind_std,9,-0.04653916643318598,0.6033662402317951,127,False
JJA,sam,wind_std,10,-0.09845787259336966,0.27077854893503334,127,False
JJA,sam,wind_std,11,0.12796636160639102,0.15329728201404827,126,False
JJA,sam,wind_std,12,-0.05109198756541043,0.5730655071701527,124,False
JJA,sam,runoff_std,0,0.1284685669420761,0.142092421668016,132,False
JJA,sam,runoff_std,1,0.1584568710775412,0.07065657304764786,131,False
JJA,sam,runoff_std,2,0.06348608581608614,0.4730126085368097,130,False
JJA,sam,runoff_std,3,-0.1589624267251699,0.07196299950848857,129,False
JJA,sam,runoff_std,4,-0.06758670569014394,0.4484375080275635,128,False
JJA,sam,runoff_std,5,-0.023785203370850876,0.7906759832020451,127,False
JJA,sam,runoff_std,6,0.017589551149383445,0.8450096869051152,126,False
JJA,sam,runoff_std,7,0.0917722083157973,0.30873195052102675,125,False
JJA,sam,runoff_std,8,0.08113270148657012,0.3703684004379308,124,False
JJA,sam,runoff_std,9,0.04051442869685215,0.6563763518560944,123,False
JJA,sam,runoff_std,10,-0.0824968102332317,0.36433302090136405,123,False
JJA,sam,runoff_std,11,-0.11648453282190921,0.20324315815136543,121,False
JJA,sam,runoff_std,12,0.11273197939710246,0.22023509564534402,120,False
JJA,oni,whdi_3,0,0.34804903362405404,0.00315249044958525,70,True
JJA,oni,whdi_3,1,0.08738229841522661,0.47525265926650023,69,False
JJA,oni,whdi_3,2,-0.10197596190342352,0.4079621225938189,68,False
JJA,oni,whdi_3,3,-0.24932632925006032,0.03883095933060092,69,True
JJA,oni,whdi_3,4,-0.20596762494103754,0.08952719611531121,69,False
JJA,oni,whdi_3,5,-0.2177221361891517,0.0702055217374535,70,False
JJA,oni,whdi_3,6,-0.20420297779409186,0.0923684951878792,69,False
JJA,oni,whdi_3,7,-0.03575932954282063,0.7688411925650591,70,False
JJA,oni,whdi_3,8,0.07098582228853403,0.5592514842051818,70,False
JJA,oni,whdi_3,9,0.1697886375479972,0.16628840883163454,68,False
JJA,oni,whdi_3,10,0.12267733290630407,0.32266215571221096,67,False
JJA,oni,whdi_3,11,0.12020558242533212,0.3325812224660865,67,False
JJA,oni,whdi_3,12,0.08172314896707522,0.5108946884542265,67,False
JJA,oni,wind_std,0,-0.037167974673907034,0.6907376968578227,117,False
JJA,oni,wind_std,1,-0.04441363374336722,0.6359258131455545,116,False
JJA,oni,wind_std,2,-0.03507062661762974,0.7098209677819205,115,False
JJA,oni,wind_std,3,-0.0313894518250592,0.7391198105972038,115,False
JJA,oni,wind_std,4,-0.05662105925375449,0.5495962012869993,114,False
JJA,oni,wind_std,5,-0.13446181204341717,0.15751647233017013,112,False
JJA,oni,wind_std,6,-0.15063806079218367,0.11622097169858946,110,False
JJA,oni,wind_std,7,-0.030147675595203455,0.7545461622170472,110,False
JJA,oni,wind_std,8,0.03842650738669539,0.6915843529790636,109,False
JJA,oni,wind_std,9,0.08521641876620632,0.3851013666882427,106,False
JJA,oni,wind_std,10,0.0812218782016941,0.4055936903207382,107,False
JJA,oni,wind_std,11,0.09736061371947638,0.32077584887419747,106,False
JJA,oni,wind_std,12,0.026540119206177215,0.7871179811289677,106,False
JJA,oni,runoff_std,0,0.37847499507516846,0.0002770316050892062,88,True
JJA,oni,runoff_std,1,0.12131002534611171,0.26302140882475294,87,False
JJA,oni,runoff_std,2,-0.05979983518979744,0.5844228432218439,86,False
JJA,oni,runoff_std,3,-0.24410145352831064,0.02269802501364194,87,True
JJA,oni,runoff_std,4,-0.2610798451172214,0.014586299796023067,87,True
JJA,oni,runoff_std,5,-0.17444334966522554,0.10609821810259108,87,False
JJA,oni,runoff_std,6,-0.041651253613565024,0.70168697826854,87,False
JJA,oni,runoff_std,7,0.08458921587710733,0.43599062664336297,87,False
JJA,oni,runoff_std,8,0.07879238184968192,0.4708353857060969,86,False
JJA,oni,runoff_std,9,0.05951765368639104,0.5907207208880424,84,False
JJA,oni,runoff_std,10,0.0052198064707166154,0.9624145631539417,84,False
JJA,oni,runoff_std,11,0.07927819952763329,0.4734735197785917,84,False
JJA,oni,runoff_std,12,0.05569961738054756,0.6169761945643425,83,False
JJA,iod,whdi_3,0,0.08695558762505012,0.45511539644773974,76,False
JJA,iod,whdi_3,1,-0.02594569328133172,0.8251239829352864,75,False
